[16:04:07.084] Created Window
[16:04:07.112] Setup Shaders
[16:04:07.461] Setup Player
[16:04:07.707] Setup Scene Graph
[16:04:07.775] Entering Render Loop
[16:04:13.174] Vector3f[-67.5, -20.30004, 0.0]
[16:04:13.174] Vector3f[-67.5, -20.40004, 0.0]
[16:04:13.176] Vector3f[-67.5, -20.50004, 0.0]
[16:04:13.176] Vector3f[-67.5, -20.60004, 0.0]
[16:04:13.176] Vector3f[-67.5, -20.70004, 0.0]
[16:04:13.177] Vector3f[-67.5, -20.800041, 0.0]
[16:04:13.177] Vector3f[-67.5, -20.900042, 0.0]
[16:04:13.177] Vector3f[-67.5, -21.000042, 0.0]
[16:04:13.177] Vector3f[-67.5, -21.100042, 0.0]
[16:04:13.177] Vector3f[-67.5, -21.200043, 0.0]
[16:04:13.177] Vector3f[-67.5, -21.300043, 0.0]
[16:04:13.177] Vector3f[-67.5, -21.400043, 0.0]
[16:04:13.177] Vector3f[-67.5, -21.500044, 0.0]
[16:04:13.178] Vector3f[-67.5, -21.600044, 0.0]
[16:04:13.178] Vector3f[-67.5, -21.700045, 0.0]
[16:04:13.178] Vector3f[-67.5, -21.800045, 0.0]
[16:04:13.178] Vector3f[-67.5, -21.900045, 0.0]
[16:04:13.178] Vector3f[-67.5, -22.000046, 0.0]
[16:04:13.178] Vector3f[-67.5, -22.100046, 0.0]
[16:04:13.180] Vector3f[-67.5, -22.200047, 0.0]
[16:04:13.181] Vector3f[-67.5, -22.300047, 0.0]
[16:04:13.181] Vector3f[-67.5, -22.400047, 0.0]
[16:04:13.181] Vector3f[-67.5, -22.500048, 0.0]
[16:04:13.181] Vector3f[-67.5, -22.600048, 0.0]
[16:04:13.182] Vector3f[-67.5, -22.700048, 0.0]
[16:04:13.182] Vector3f[-67.5, -22.800049, 0.0]
[16:04:13.182] Vector3f[-67.5, -22.90005, 0.0]
[16:04:13.182] Vector3f[-67.5, -23.00005, 0.0]
[16:04:13.182] Vector3f[-67.5, -23.10005, 0.0]
[16:04:13.182] Vector3f[-67.5, -23.20005, 0.0]
[16:04:13.183] Vector3f[-67.5, -23.30005, 0.0]
[16:04:13.184] Vector3f[-67.5, -23.400051, 0.0]
[16:04:13.184] Vector3f[-67.5, -23.500051, 0.0]
[16:04:13.184] Vector3f[-67.5, -23.600052, 0.0]
